Training-Glyph,Constenla-Orthography,Jara-Orthography,Phonetics
ã,a̠,ã,Nasal a low tone
ẽ,e̠,ẽ,Nasal e low tone
ĩ,i̠,ĩ,Nasal i low tone
õ,o̠,õ,Nasal o low tone
ũ,u̠,ũ,Nasal u low tone
áx,á̠,ã́,Nasal a falling tone
éx,é̠,ẽ́,Nasal e falling tone
íx,í̠,ĩ́,Nasal i falling tone
óx,ó̠,ṍ,Nasal o falling tone
úx,ú̠,ṹ,Nasal u falling tone
àx,à̠,ã̀,Nasal a high tone
èx,è̠,ẽ̀,Nasal e high tone
ìx,ì̠,ĩ̀,Nasal i high tone
òx,ò̠,õ̀,Nasal o high tone
ùx,ù̠,ũ̀,Nasal u high tone
âx,â̠,ã̂,Nasal a rising tone
êx,ê̠,ẽ̂,Nasal e rising tone
îx,î̠,ĩ̂,Nasal i rising tone
ôx,ô̠,õ̂,Nasal o rising tone
ûx,û̠,ũ̂,Nasal u rising tone
éq,ë́,ë́,Lax e falling tone
óq,ö́,ö́,Lax o faling tone
èq,ë̀,ë̀,Lax e high tone
òq,ö̀,ö̀,Lax o high tone
êq,ë̂,ë̂,Lax e rising tone
ôq,ö̂,ö̂,Lax o rising tone
